model_id,artifact_id,artifact_name,artifact_extension,file_size_bytes,artifact_status,created_at,updated_at,signed_download_url
30566b0c-4de2-4825-ac28-572bdf4ef39a,1a98abe2-76ca-4988-bd8d-2264f51a6649,cameo_model_output,mdzip,,awaiting_upload_post_processing,2024-09-09T00:45:13.894320,2024-09-09T00:46:31.687450,https://s3.us-east-1.amazonaws.com/istari-file-service-auth-dev/267cfd55-d2c3-4faa-b8a3-36687f372ab1?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYKVZV47CU4P6Y7II%2F20240909%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240909T113321Z&X-Amz-Expires=30&X-Amz-SignedHeaders=host&X-Amz-Signature=a5990edc19c70d21bb62d05a3a41a02ec20dde3593dc9ddd86daea0a6cb99a60
30566b0c-4de2-4825-ac28-572bdf4ef39a,09154de2-70c5-48f3-bdef-ac3aeea18110,Diagram Resupply Logistics Mission Context.png,png,,awaiting_upload_post_processing,2024-09-09T00:46:32.017061,2024-09-09T00:46:32.295502,https://s3.us-east-1.amazonaws.com/istari-file-service-auth-dev/b2c1f361-4dbd-4609-8ce7-acbd92f675c2?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYKVZV47CU4P6Y7II%2F20240909%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240909T113321Z&X-Amz-Expires=30&X-Amz-SignedHeaders=host&X-Amz-Signature=7e493daa0eb8020ab587d573b83325e01f851a47d3f3b285baff498036509bd1
30566b0c-4de2-4825-ac28-572bdf4ef39a,0cc84e5f-eaae-41c2-ad5a-4b6db17f976b,Diagram PowerRollUpPattern.png,png,,awaiting_upload_post_processing,2024-09-09T00:46:32.631939,2024-09-09T00:46:32.844350,https://s3.us-east-1.amazonaws.com/istari-file-service-auth-dev/c5b4bb86-4eb8-4d57-8252-849d03ef5c22?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYKVZV47CU4P6Y7II%2F20240909%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240909T113321Z&X-Amz-Expires=30&X-Amz-SignedHeaders=host&X-Amz-Signature=6fb631efd3e8dc37cb56655ec9b56e94873c8c3403b7052c0f393b2a633b59c5
30566b0c-4de2-4825-ac28-572bdf4ef39a,e89f2f92-7819-4fb4-a78c-5efe9cdae29d,Diagram System_requirements.png,png,,awaiting_upload_post_processing,2024-09-09T00:46:33.183863,2024-09-09T00:46:33.408842,https://s3.us-east-1.amazonaws.com/istari-file-service-auth-dev/492a84a1-44af-41e5-8678-aa7e45ad4c5b?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYKVZV47CU4P6Y7II%2F20240909%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240909T113321Z&X-Amz-Expires=30&X-Amz-SignedHeaders=host&X-Amz-Signature=7bbc65a0db43d1b9a72e8b771d9e3e0c5e93d930577de680d123d747938d0995
30566b0c-4de2-4825-ac28-572bdf4ef39a,9db31fe3-bcd9-4c71-958f-f65eeeea18e3,Diagram requirement verification.png,png,,awaiting_upload_post_processing,2024-09-09T00:46:33.800545,2024-09-09T00:46:34.018187,https://s3.us-east-1.amazonaws.com/istari-file-service-auth-dev/1e339b64-5c0c-41e7-b689-c3c8be4215f6?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYKVZV47CU4P6Y7II%2F20240909%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240909T113321Z&X-Amz-Expires=30&X-Amz-SignedHeaders=host&X-Amz-Signature=33c6f2f3641123a827544afb6dfae666a4cebd5c0ec4c53c5a5e119b0103b989
30566b0c-4de2-4825-ac28-572bdf4ef39a,0066097d-0ea8-48b3-8c1c-2569167e6698,Diagram StereotypeRelations.png,png,,awaiting_upload_post_processing,2024-09-09T00:46:34.288993,2024-09-09T00:46:34.509184,https://s3.us-east-1.amazonaws.com/istari-file-service-auth-dev/16894b7c-a26b-4328-bd9e-e93f5d01427f?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYKVZV47CU4P6Y7II%2F20240909%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240909T113322Z&X-Amz-Expires=30&X-Amz-SignedHeaders=host&X-Amz-Signature=3dbcf5d66a4b3084f72d937b8786e41cf5d2f84904fb619149ef7530bd3b8363
30566b0c-4de2-4825-ac28-572bdf4ef39a,e7507db4-a5ea-49c9-b0f1-7b1406b95547,Diagram ReqIF Identifiable Model.png,png,,awaiting_upload_post_processing,2024-09-09T00:46:34.841170,2024-09-09T00:46:35.072873,https://s3.us-east-1.amazonaws.com/istari-file-service-auth-dev/63e240a4-3355-4375-9589-6f5e5a82a454?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYKVZV47CU4P6Y7II%2F20240909%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240909T113322Z&X-Amz-Expires=30&X-Amz-SignedHeaders=host&X-Amz-Signature=e99345736117a686e88cf1688b11fa5b75e0779684ec41b7b8faf157f72fddbb
30566b0c-4de2-4825-ac28-572bdf4ef39a,b9343647-1a6a-498b-bc31-cb3101db2cc3,Diagram CostRollUpPattern.png,png,,awaiting_upload_post_processing,2024-09-09T00:46:36.308204,2024-09-09T00:46:36.557701,https://s3.us-east-1.amazonaws.com/istari-file-service-auth-dev/28710f83-8671-4382-a7a6-27f173261e0e?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYKVZV47CU4P6Y7II%2F20240909%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240909T113322Z&X-Amz-Expires=30&X-Amz-SignedHeaders=host&X-Amz-Signature=fb4be8acd3fbc841c49b8101778f72844b0689f101794b7871f06cef6c1b382c
30566b0c-4de2-4825-ac28-572bdf4ef39a,53a0f12f-e777-4834-9709-0b8ea1c5b572,Diagram 2.1 Airframe Requirements.png,png,,awaiting_upload_post_processing,2024-09-09T00:46:36.809549,2024-09-09T00:46:37.032332,https://s3.us-east-1.amazonaws.com/istari-file-service-auth-dev/065b8b90-5c1b-4585-bf30-022f6f78c3b6?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYKVZV47CU4P6Y7II%2F20240909%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240909T113322Z&X-Amz-Expires=30&X-Amz-SignedHeaders=host&X-Amz-Signature=05f1aee022791029bf75740cd578b28078abe697822ea02c724e741214490509
30566b0c-4de2-4825-ac28-572bdf4ef39a,4a6a6cfe-29e5-46b5-8f3f-f2db594478d9,Diagram Istari One.png,png,,awaiting_upload_post_processing,2024-09-09T00:46:37.304592,2024-09-09T00:46:37.742870,https://s3.us-east-1.amazonaws.com/istari-file-service-auth-dev/e3c5fbac-8d99-49f8-b826-dd0cb4076e62?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYKVZV47CU4P6Y7II%2F20240909%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240909T113323Z&X-Amz-Expires=30&X-Amz-SignedHeaders=host&X-Amz-Signature=775ab64e4ef6dc865c12b4438268feacf666f033fa09ed8dfcc048727f7abea9
